instance,solution,official_v1_ratio,hexaly_v1_ratio,gap_vs_hexaly_pct,status,notes
V_1.1,v1_1.1_cached_expand3_pruned_maxfill.xml,0.031523,0.027485,14.7,worse,"TimeCost is zero, so this is a direct route-quality gap under V1."
V_1.2,v1_1.2_improved.xml,0.029765,0.027477,8.3,worse,"TimeCost is zero, so this is a direct route-quality gap under V1."
V_1.3,v1_1.3_improved_squeezed.xml,0.036594,0.013505,171.0,worse,"Nonzero TimeCost; our solver was not tuned for the historical V1 weighting."
V_1.4,v1_1.4_official_greedy.xml,0.038107,0.015464,146.4,worse,"V1-only official-gated source-visit cleanup improved the prior 0.038188 result."
V_1.5,v1_1.5_improved_squeezed.xml,0.018545,0.011841,56.6,worse,"Nonzero TimeCost; route shape remains weaker than Hexaly under V1."
V_1.6,v1_1.6_improved_squeezed.xml,0.023762,0.012880,84.5,worse,"Long horizon and nonzero TimeCost; feasible but not V1-competitive."
V_1.7,v1_1.7_improved_squeezed.xml,0.052122,0.012621,313.0,worse,"Largest gap; V1 weights heavily expose long-duration route choices."
V_1.8,v1_1.8_improved_squeezed.xml,0.015479,0.007756,99.6,worse,"Short horizon, nonzero TimeCost; feasible but not V1-competitive."
V_1.9,v1_1.9_rescued_feasible.xml,0.026426,0.015815,67.1,worse,"New fully feasible repair; preferred over earlier infeasible V_1.9 rescued outputs."
V_1.10,v1_1.10_official_greedy.xml,0.040454,0.018371,120.2,worse,"V1-only official-gated source-visit cleanup improved the prior 0.041155 result."
V_1.11,v1_1.11_rescued.xml,0.061461,0.028957,112.2,worse,"Fully feasible rescued solution; do not claim the earlier V1/V2-divided value."
